,Wh Used,RPM,current,Available filters and text transformations,Ah Used,More details at https,Tachometer,Voltage In,Quit,Menu,Help,ADC1,ADC2,ADC3,PPM,g9 Open Voltage,Checksum,Cell ID,Instant Voltage,Internal Resistance,Open Voltage,duty cycle,ance,Reserved,Pack Current,Voltage,Pack SOC,Relay State,High Temperature,High Thermistor ID,Low Temperature,Low Thermistor ID,Wh Charged,Pack DCL,Pack CCL,High Cell Voltage,High Cell Voltage ID,Low Cell Voltage,Low Cell Voltage ID,Ah Charged,Inte Wh Used
323,,,,,,,,,,,,1163,633,1163,,,61,14,0,1509,0,,,,,,,,,,,,,,,,,,,,
324,26735,6739,44,,541,,,,,,,1164,634,1164,,,233,15,0,1509,0,913,,,0 Pack Inst.,0,2,32840,25,8,23,4,7053,0,0,,,,,131,
325,26779,,,,,,,,,,,,,,,,46,0,0,1509,0,,,,,,,,,,,,,,,,,,,,
326,,6759,37,,542,,,,,,,,,,,,2,1,0,1509,0,925,,,,,,,,,,,,,,0,1,0,1,,
327,26834,6738,48,,543,,,,,,,1163,632,1163,0,,233,2,0,1509,0,909,,,0 Pack Inst.,0,2,32840,25,8,23,4,7053,0,0,,,,,,
328,26873,,,,,,,,,,,1164,634,1164,0,,2,3,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,,
329,,6764,32,,,,,,,,,,,,,,47,4,0,1509,0,,,,,,,,,,,,,,,,,,,,
330,26927,6746,62,,544,,,,,,,1164,633,1164,0,,233,5,0,1509,0,,,,0 Pack Inst.,0,2,32840,25,8,23,4,7053,0,0,,,,,131,
331,,,,,544,,,,,,,1165,635,1165,,,2,6,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,131,
332,26971,,,,,,,,,,,,,,,,48,7,0,1509,0,,,,,,,,,,,,,,,,,,,,
333,27020,6757,39,,545,,,,,,,1163,632,1163,0,,233,8,0,1509,0,914,,,0 Pack Inst.,0,2,32840,25,8,23,4,,0,0,,,,,131,
334,,6752,42,,546,,,,,,,,,,,,2,9,0,1509,0,943,,,,,,,,,,,,,,0,1,0,1,,
335,,,,,,,,,,,,1163,633,1163,,,51,10,0,1509,0,,,,,,,,,,,,,,,,,,,,
336,27070,6748,48,,547,,,,,,,1164,633,1164,,,60,11,0,1509,0,931,,,0 Pack Inst.,0,2,32840,25,8,23,4,7053,0,0,,,,,131,
337,27115,,,,,,,,,,,,,,,,53,12,0,1509,0,,,,,,,,,,,,,,,,,,,,
338,27159,6747,36,,548,,,,,,,1163,632,1163,0,,233,13,0,1509,0,924,,,0 Pack Inst.,0,2,32840,25,8,23,4,,0,0,,,,,131,
339,,6743,45,,,,,,,,,,,,,,55,14,0,1509,0,,,,,,,,,,,,,,,,,,,,
340,,,,,549,,,,,,,1164,633,1164,,,2,15,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,131,
341,27209,6745,53,,550,,,,,,,1163,633,1163,,,233,0,0,1509,0,914,,,0 Pack Inst.,0,2,32840,25,8,23,4,7053,0,0,,,,,131,
342,27255,6767,14,,,,,,,,,,,,,,2,1,0,1509,0,,,,,,,,,,,,7053,,,0,1,0,1,,
343,,,,,551,,,,,,,,,,,,48,2,0,1509,0,,,,,,,,,,,,,,,,,,,,
344,27316,6736,48,,552,,,,,,,1163,633,1163,0,,233,3,0,1509,0,929,,,0 Pack Inst.,0,2,32840,25,8,23,4,7053,0,0,,,,,,
345,27346,,,,,,,,,,,1163,633,1163,0,,2,4,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,,
346,,6752,26,,,,,,,,,,,,,,49,5,0,1509,0,,,,,,,,,,,,,,,,,,,,
347,27400,6735,77,,553,,,,,,,1163,632,1163,0,,233,6,0,1509,0,,,,0 Pack Inst.,0,2,32840,25,8,23,4,7053,0,0,,,,,131,
348,,,,,554,,,,,,,1163,633,1163,,,2,7,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,131,
349,28787,0,0,,581,,66666,507,,,,623,631,623,0,,,8,0,,,3,,0,,,,,,,,,7053,,,,,,,131,27448
